0	1	4298118681424644510	7686695	385	3	3	1601	5521	7709	576	490234
0	1	4860571499428580850	21560664	37484	2	2	2255103	317	48989	44771	490234
1	1	4860571499428580850	21560664	37484	2	2	2255103	317	48989	44771	490234
1	2	10196385171799537224	21375650	36832	2	1	4688625	202465	457316	429545	490234
0	1	9704320783495875564	21748480	36759	3	3	4532751	60721	685038	29681	490234
1	1	4860571499428580850	21560664	37484	2	2	2255103	317	48989	44771	6231944
0	1	378261549181239	21560664	37484	2	2	337622	333	56892	42311	6231944
3	4	10196385171799537224	21375650	36832	2	1	4688625	202465	457316	429545	6231944
0	1	18040112485405760145	20908196	35088	3	1	0	0	43	50	6231944
0	1	10349468651765658911	21522776	37422	3	2	0	0	25	4	6231944
0	1	4860571499428580850	21560664	37484	1	4	4738	3600	48989	52810	34895628
